timestamp,open,high,low,close,volume
2024-12-31 19:00:00+00:00,1.03548,1.03611,1.03467,1.03512,3614.98
2024-12-31 19:15:00+00:00,1.03511,1.03554,1.03488,1.03523,1903.12
2024-12-31 19:30:00+00:00,1.03522,1.03578,1.03476,1.03479,1725.72
2024-12-31 19:45:00+00:00,1.03478,1.03526,1.03474,1.03502,3118.83
2024-12-31 20:00:00+00:00,1.03503,1.03544,1.0348,1.03536,3505.21
2024-12-31 20:15:00+00:00,1.03535,1.03549,1.03473,1.03474,2592.1
2024-12-31 20:30:00+00:00,1.03474,1.03512,1.0344,1.03469,2387.95
2024-12-31 20:45:00+00:00,1.03469,1.03535,1.03442,1.03485,1728.51
2024-12-31 21:00:00+00:00,1.03485,1.03507,1.03454,1.03466,1848.25
2024-12-31 21:15:00+00:00,1.03464,1.03532,1.0346,1.03527,1356.17
2024-12-31 21:30:00+00:00,1.03526,1.03566,1.03511,1.03565,958.43
2024-12-31 21:45:00+00:00,1.03564,1.03564,1.03526,1.03529,1093.6
2024-12-31 22:00:00+00:00,1.03529,1.03623,1.03516,1.03619,1106.46
2024-12-31 22:15:00+00:00,1.03618,1.03646,1.03574,1.03589,1088.28
2024-12-31 22:30:00+00:00,1.03588,1.03588,1.03541,1.03558,1116.13
2024-12-31 22:45:00+00:00,1.0356,1.03569,1.03538,1.03547,1041.24
2024-12-31 23:00:00+00:00,1.03547,1.03601,1.03544,1.03573,849.43
2024-12-31 23:15:00+00:00,1.03572,1.0363,1.03572,1.03612,692.46
2024-12-31 23:30:00+00:00,1.03612,1.03613,1.03587,1.03601,459.73
2024-12-31 23:45:00+00:00,1.036,1.03607,1.03569,1.03583,690.17
2025-01-01 00:00:00+00:00,1.03584,1.03609,1.03584,1.03594,305.09
2025-01-01 00:15:00+00:00,1.03594,1.03602,1.03576,1.03584,300.43
2025-01-01 00:30:00+00:00,1.03585,1.03594,1.03567,1.03579,271.7
2025-01-01 00:45:00+00:00,1.0358,1.03584,1.03526,1.03526,930.55
2025-01-02 01:00:00+00:00,1.03503,1.03519,1.03483,1.03485,91.44
2025-01-02 01:15:00+00:00,1.03485,1.03546,1.03485,1.03543,240.6
2025-01-02 01:30:00+00:00,1.03542,1.03573,1.03526,1.03566,572.56
2025-01-02 01:45:00+00:00,1.03561,1.03577,1.0355,1.0355,538.62
2025-01-02 02:00:00+00:00,1.0355,1.03563,1.03501,1.03536,1378.86
2025-01-02 02:15:00+00:00,1.03536,1.03543,1.03513,1.03513,1007.01
2025-01-02 02:30:00+00:00,1.03515,1.03517,1.03462,1.03491,1128.51
2025-01-02 02:45:00+00:00,1.03491,1.03531,1.03491,1.03507,932.99
2025-01-02 03:00:00+00:00,1.03508,1.03518,1.03491,1.03493,850.72
2025-01-02 03:15:00+00:00,1.03492,1.03513,1.03472,1.03506,1169.99
2025-01-02 03:30:00+00:00,1.03505,1.03516,1.03485,1.03508,753.39
2025-01-02 03:45:00+00:00,1.03509,1.03564,1.03503,1.0352,907.27
2025-01-02 04:00:00+00:00,1.03521,1.03521,1.03442,1.03489,1530.54
2025-01-02 04:15:00+00:00,1.03489,1.03538,1.03463,1.03508,1070.8
2025-01-02 04:30:00+00:00,1.03509,1.03606,1.03489,1.03581,1099.94
2025-01-02 04:45:00+00:00,1.03581,1.03598,1.03572,1.03578,1311.17
2025-01-02 05:00:00+00:00,1.03577,1.03613,1.03577,1.03602,822.13
2025-01-02 05:15:00+00:00,1.03602,1.03635,1.03594,1.0363,803.75
2025-01-02 05:30:00+00:00,1.0363,1.03671,1.03629,1.03668,489.66
2025-01-02 05:45:00+00:00,1.03667,1.03712,1.03662,1.03709,675.93
2025-01-02 06:00:00+00:00,1.03711,1.03732,1.03705,1.03713,735.08
2025-01-02 06:15:00+00:00,1.03717,1.03717,1.03682,1.03704,538.67
2025-01-02 06:30:00+00:00,1.03707,1.0374,1.037,1.03718,988.79
2025-01-02 06:45:00+00:00,1.03718,1.03725,1.03694,1.03715,578.89
2025-01-02 07:00:00+00:00,1.03716,1.03756,1.03716,1.03743,715.16
2025-01-02 07:15:00+00:00,1.03742,1.03751,1.03709,1.03711,879.42
2025-01-02 07:30:00+00:00,1.03712,1.03716,1.03664,1.03669,1041.66
2025-01-02 07:45:00+00:00,1.03669,1.03705,1.03664,1.03692,622.05
2025-01-02 08:00:00+00:00,1.03693,1.03706,1.03655,1.03662,946.59
2025-01-02 08:15:00+00:00,1.03663,1.0367,1.03635,1.03646,929.01
2025-01-02 08:30:00+00:00,1.03647,1.03653,1.03618,1.03618,688.94
2025-01-02 08:45:00+00:00,1.03619,1.03648,1.03617,1.03638,706.41
2025-01-02 09:00:00+00:00,1.03637,1.03637,1.03607,1.03623,962.4
2025-01-02 09:15:00+00:00,1.03622,1.03633,1.03603,1.03616,823.92
2025-01-02 09:30:00+00:00,1.03616,1.03639,1.03599,1.03632,1236.93
2025-01-02 09:45:00+00:00,1.03633,1.0365,1.03622,1.03637,1065.63
2025-01-02 10:00:00+00:00,1.03637,1.03682,1.03629,1.03675,2585.19
2025-01-02 10:15:00+00:00,1.03675,1.03695,1.03659,1.03686,1593.65
2025-01-02 10:30:00+00:00,1.03688,1.03694,1.03659,1.03681,1891.44
2025-01-02 10:45:00+00:00,1.03682,1.03723,1.03623,1.03627,1816.76
